Company,Job Role,Skills Needed
Google,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Google,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Google,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Google,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Google,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Google,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Google,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Google,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Google,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Google,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Microsoft,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Microsoft,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Microsoft,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Microsoft,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Microsoft,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Microsoft,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Microsoft,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Microsoft,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Microsoft,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Microsoft,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Amazon,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Amazon,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Amazon,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Amazon,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Amazon,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Amazon,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Amazon,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Amazon,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Amazon,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Amazon,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Meta,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Meta,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Meta,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Meta,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Meta,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Meta,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Meta,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Meta,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Meta,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Meta,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Apple,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Apple,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Apple,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Apple,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Apple,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Apple,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Apple,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Apple,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Apple,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Apple,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
NVIDIA,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
NVIDIA,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
NVIDIA,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
NVIDIA,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
NVIDIA,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
NVIDIA,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
NVIDIA,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
NVIDIA,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
NVIDIA,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
NVIDIA,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
IBM,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
IBM,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
IBM,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
IBM,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
IBM,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
IBM,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
IBM,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
IBM,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
IBM,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
IBM,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Oracle,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Oracle,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Oracle,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Oracle,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Oracle,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Oracle,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Oracle,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Oracle,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Oracle,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Oracle,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Accenture,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Accenture,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Accenture,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Accenture,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Accenture,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Accenture,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Accenture,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Accenture,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Accenture,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Accenture,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
TCS,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
TCS,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
TCS,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
TCS,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
TCS,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
TCS,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
TCS,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
TCS,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
TCS,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
TCS,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Infosys,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Infosys,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Infosys,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Infosys,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Infosys,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Infosys,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Infosys,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Infosys,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Infosys,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Infosys,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Wipro,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Wipro,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Wipro,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Wipro,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Wipro,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Wipro,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Wipro,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Wipro,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Wipro,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Wipro,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Capgemini,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Capgemini,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Capgemini,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Capgemini,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Capgemini,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Capgemini,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Capgemini,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Capgemini,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Capgemini,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Capgemini,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Deloitte,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Deloitte,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Deloitte,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Deloitte,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Deloitte,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Deloitte,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Deloitte,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Deloitte,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Deloitte,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Deloitte,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Flipkart,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Flipkart,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Flipkart,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Flipkart,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Flipkart,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Flipkart,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Flipkart,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Flipkart,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Flipkart,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Flipkart,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Uber,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Uber,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Uber,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Uber,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Uber,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Uber,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Uber,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Uber,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Uber,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Uber,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
Airbnb,Data Analyst,"SQL, Excel, Python, Power BI, Tableau, Data Cleaning"
Airbnb,Backend Developer,"Python, Java, Node.js, APIs, Databases, System Design"
Airbnb,AI Engineer,"Python, Deep Learning, NLP, TensorFlow, PyTorch, LLMs"
Airbnb,Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms, Model Deployment, Feature Engineering"
Airbnb,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS, Linux, Terraform"
Airbnb,Cloud Engineer,"AWS, Azure, GCP, Networking, Infrastructure as Code"
Airbnb,Business Analyst,"Excel, SQL, Stakeholder Communication, Requirement Analysis"
Airbnb,Data Scientist,"Python, Statistics, Machine Learning, Data Visualization"
Airbnb,Software Engineer,"Java, C++, Data Structures, Algorithms, System Design"
Airbnb,Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking, Risk Analysis"
